Date : 2021-10-07 08:24:17
Directory : e:\OneDrive\Gitee\HullMointorSystem\HMSv1.2_LICENSED\MarineControl.HMS
Total : 234 files,  425681 codes, 4612 comments, 2044 blanks, all 432337 lines

Languages
+----------+------------+------------+------------+------------+------------+
| language | files      | code       | comment    | blank      | total      |
+----------+------------+------------+------------+------------+------------+
| XML      |         71 |    408,766 |         37 |         32 |    408,835 |
| C#       |        157 |     16,628 |      4,575 |      1,991 |     23,194 |
| Ini      |          3 |        194 |          0 |         21 |        215 |
| JSON     |          3 |         93 |          0 |          0 |         93 |
+----------+------------+------------+------------+------------+------------+

Directories
+--------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| path                                                                                                                                                                                       | files      | code       | comment    | blank      | total      |
+--------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| e:\OneDrive\Gitee\HullMointorSystem\HMSv1.2_LICENSED\MarineControl.HMS\MarineControl.HMS\bin\Debug\DevExpress.XtraBars.v20.1.xml                                                           | XML      |     35,995 |          0 |          0 |     35,995 |
| e:\OneDrive\Gitee\HullMointorSystem\HMSv1.2_LICENSED\MarineControl.HMS\MarineControl.HMS\bin\Debug\DevExpress.XtraEditors.v20.1.xml                                                        | XML      |     36,493 |          0 |          0 |     36,493 |
| e:\OneDrive\Gitee\HullMointorSystem\HMSv1.2_LICENSED\MarineControl.HMS\MarineControl.HMS\bin\Debug\DevExpress.XtraGauges.v20.1.Core.xml                                                    | XML      |      2,986 |          0 |          0 |      2,986 |
| e:\OneDrive\Gitee\HullMointorSystem\HMSv1.2_LICENSED\MarineControl.HMS\MarineControl.HMS\bin\Debug\DevExpress.XtraGauges.v20.1.Win.xml                                                     | XML      |      1,936 |          0 |          0 |      1,936 |
| e:\OneDrive\Gitee\HullMointorSystem\HMSv1.2_LICENSED\MarineControl.HMS\MarineControl.HMS\bin\Debug\DevExpress.XtraGrid.v20.1.xml                                                           | XML      |     23,191 |          0 |          0 |     23,191 |
| e:\OneDrive\Gitee\HullMointorSystem\HMSv1.2_LICENSED\MarineControl.HMS\MarineControl.HMS\bin\Debug\DevExpress.XtraLayout.v20.1.xml                                                         | XML      |      5,817 |          0 |          1 |      5,818 |
| e:\OneDrive\Gitee\HullMointorSystem\HMSv1.2_LICENSED\MarineControl.HMS\MarineControl.HMS\bin\Debug\DevExpress.XtraPrinting.v20.1.xml                                                       | XML      |      2,874 |          0 |          0 |      2,874 |
| e:\OneDrive\Gitee\HullMointorSystem\HMSv1.2_LICENSED\MarineControl.HMS\MarineControl.HMS\bin\Debug\DevExpress.XtraTreeList.v20.1.xml                                                       | XML      |     10,449 |          0 |          0 |     10,449 |
| e:\OneDrive\Gitee\HullMointorSystem\HMSv1.2_LICENSED\MarineControl.HMS\MarineControl.HMS\bin\Debug\OxyPlot.WindowsForms.xml                                                                | XML      |        796 |          0 |          1 |        797 |
| e:\OneDrive\Gitee\HullMointorSystem\HMSv1.2_LICENSED\MarineControl.HMS\MarineControl.HMS\bin\Debug\OxyPlot.xml                                                                             | XML      |     22,404 |          0 |          1 |     22,405 |
| e:\OneDrive\Gitee\HullMointorSystem\HMSv1.2_LICENSED\MarineControl.HMS\MarineControl.HMS\bin\Release\Cfg\sensor.ini                                                                        | Ini      |         66 |          0 |          8 |         74 |
| e:\OneDrive\Gitee\HullMointorSystem\HMSv1.2_LICENSED\MarineControl.HMS\MarineControl.HMS\bin\Release\OxyPlot.WindowsForms.xml                                                              | XML      |        796 |          0 |          1 |        797 |
| e:\OneDrive\Gitee\HullMointorSystem\HMSv1.2_LICENSED\MarineControl.HMS\MarineControl.HMS\bin\Release\OxyPlot.xml                                                                           | XML      |     22,404 |          0 |          1 |     22,405 |
| e:\OneDrive\Gitee\HullMointorSystem\HMSv1.2_LICENSED\MarineControl.HMS\MarineControl.HMS\obj\Debug\.NETFramework,Version=v4.6.1.AssemblyAttributes.cs                                      | C#       |          3 |          1 |          1 |          5 |
| e:\OneDrive\Gitee\HullMointorSystem\HMSv1.2_LICENSED\MarineControl.HMS\MarineControl.HMS\obj\Debug\.NETFramework,Version=v4.6.2.AssemblyAttributes.cs                                      | C#       |          3 |          1 |          1 |          5 |
| e:\OneDrive\Gitee\HullMointorSystem\HMSv1.2_LICENSED\MarineControl.HMS\MarineControl.HMS\obj\Debug\.NETFramework,Version=v4.7.2.AssemblyAttributes.cs                                      | C#       |          3 |          1 |          1 |          5 |
| e:\OneDrive\Gitee\HullMointorSystem\HMSv1.2_LICENSED\MarineControl.HMS\MarineControl.HMS\obj\Debug\MarineControl.HMS.TrustInfo.xml                                                         | XML      |          2 |          9 |          0 |         11 |
| e:\OneDrive\Gitee\HullMointorSystem\HMSv1.2_LICENSED\MarineControl.HMS\MarineControl.HMS\obj\Release\.NETFramework,Version=v4.6.1.AssemblyAttributes.cs                                    | C#       |          3 |          1 |          1 |          5 |
| e:\OneDrive\Gitee\HullMointorSystem\HMSv1.2_LICENSED\MarineControl.HMS\MarineControl.HMS\obj\Release\.NETFramework,Version=v4.7.2.AssemblyAttributes.cs                                    | C#       |          3 |          1 |          1 |          5 |
| e:\OneDrive\Gitee\HullMointorSystem\HMSv1.2_LICENSED\MarineControl.HMS\MarineControl.HMS\obj\Release\MarineControl.HMS.TrustInfo.xml                                                       | XML      |          2 |          9 |          0 |         11 |
| e:\OneDrive\Gitee\HullMointorSystem\HMSv1.2_LICENSED\MarineControl.HMS\MarineControl.HMS\obj\x64\Debug\.NETFramework,Version=v4.6.1.AssemblyAttributes.cs                                  | C#       |          3 |          1 |          1 |          5 |
| e:\OneDrive\Gitee\HullMointorSystem\HMSv1.2_LICENSED\MarineControl.HMS\MarineControl.HMS\obj\x64\Debug\.NETFramework,Version=v4.7.2.AssemblyAttributes.cs                                  | C#       |          3 |          1 |          1 |          5 |
| e:\OneDrive\Gitee\HullMointorSystem\HMSv1.2_LICENSED\MarineControl.HMS\MarineControl.HMS\obj\x64\Debug\MarineControl.HMS.TrustInfo.xml                                                     | XML      |          2 |          9 |          0 |         11 |
| e:\OneDrive\Gitee\HullMointorSystem\HMSv1.2_LICENSED\MarineControl.HMS\MarineControl.HMS\obj\x64\Release\.NETFramework,Version=v4.7.2.AssemblyAttributes.cs                                | C#       |          3 |          1 |          1 |          5 |
| e:\OneDrive\Gitee\HullMointorSystem\HMSv1.2_LICENSED\MarineControl.HMS\MarineControl.HMS\obj\x64\Release\MarineControl.HMS.TrustInfo.xml                                                   | XML      |          2 |          9 |          0 |         11 |
