"filename", "language", "XML", "C#", "JSON", "Ini", "comment", "blank", "total"
"e:\OneDrive\Gitee\pilot.SCADA\pilot.SCADA\pilot.SCADA\Views\SensorManagerView.xaml", "XML", 67, 0, 0, 0, 21, 12, 100
"e:\OneDrive\Gitee\pilot.SCADA\pilot.SCADA\pilot.SCADA\Views\SensorManagerView.xaml.cs", "C#", 0, 27, 0, 0, 3, 2, 32
"e:\OneDrive\Gitee\pilot.SCADA\pilot.SCADA\pilot.SCADA\Views\TaskFlowManageView.xaml", "XML", 36, 0, 0, 0, 4, 5, 45
"e:\OneDrive\Gitee\pilot.SCADA\pilot.SCADA\pilot.SCADA\Views\TaskFlowManageView.xaml.cs", "C#", 0, 24, 0, 0, 3, 2, 29
"e:\OneDrive\Gitee\pilot.SCADA\pilot.SCADA\pilot.SCADA\Views\TaskPreviewView.xaml", "XML", 13, 0, 0, 0, 0, 1, 14
"e:\OneDrive\Gitee\pilot.SCADA\pilot.SCADA\pilot.SCADA\Views\TaskPreviewView.xaml.cs", "C#", 0, 24, 0, 0, 3, 2, 29
"e:\OneDrive\Gitee\pilot.SCADA\pilot.SCADA\pilot.SCADA\Views\TaskProcessView.xaml", "XML", 26, 0, 0, 0, 0, 6, 32
"e:\OneDrive\Gitee\pilot.SCADA\pilot.SCADA\pilot.SCADA\Views\TaskProcessView.xaml.cs", "C#", 0, 25, 0, 0, 3, 2, 30
"e:\OneDrive\Gitee\pilot.SCADA\pilot.SCADA\pilot.SCADA\Views\TaskView.xaml", "XML", 521, 0, 0, 0, 47, 123, 691
"e:\OneDrive\Gitee\pilot.SCADA\pilot.SCADA\pilot.SCADA\Views\TaskView.xaml.cs", "C#", 0, 122, 0, 0, 13, 17, 152
"e:\OneDrive\Gitee\pilot.SCADA\pilot.SCADA\pilot.SCADA\Views\TiledItemView.xaml", "XML", 66, 0, 0, 0, 0, 10, 76
"e:\OneDrive\Gitee\pilot.SCADA\pilot.SCADA\pilot.SCADA\Views\TiledItemView.xaml.cs", "C#", 0, 24, 0, 0, 3, 2, 29
"e:\OneDrive\Gitee\pilot.SCADA\pilot.SCADA\pilot.SCADA\Views\TiledView.xaml", "XML", 22, 0, 0, 0, 10, 4, 36
"e:\OneDrive\Gitee\pilot.SCADA\pilot.SCADA\pilot.SCADA\Views\TiledView.xaml.cs", "C#", 0, 31, 0, 0, 14, 9, 54
"e:\OneDrive\Gitee\pilot.SCADA\pilot.SCADA\pilot.SCADA\Views\view2.xaml", "XML", 16, 0, 0, 0, 0, 1, 17
"e:\OneDrive\Gitee\pilot.SCADA\pilot.SCADA\pilot.SCADA\Views\view2.xaml.cs", "C#", 0, 27, 0, 0, 3, 3, 33
"e:\OneDrive\Gitee\pilot.SCADA\pilot.SCADA\pilot.SCADA\bin\Debug\Cfg\.vs\VSWorkspaceState.json", "JSON", 0, 0, 6, 0, 0, 0, 6
"e:\OneDrive\Gitee\pilot.SCADA\pilot.SCADA\pilot.SCADA\bin\Debug\Cfg\DBConfig.json", "JSON", 0, 0, 1, 0, 0, 0, 1
"e:\OneDrive\Gitee\pilot.SCADA\pilot.SCADA\pilot.SCADA\bin\Debug\Cfg\DefaultPrjPath.json", "JSON", 0, 0, 1, 0, 0, 0, 1
"e:\OneDrive\Gitee\pilot.SCADA\pilot.SCADA\pilot.SCADA\bin\Debug\Cfg\ProjectRecordList.json", "JSON", 0, 0, 1, 0, 0, 0, 1
